Sample	No_rec_fused_gene
BS_YGX2ZYCB	1
BS_YH05F9DB	1
BS_YK6VQ9SJ	1
BS_YNEQJ6AH	1
BS_YSK5SS1X	1
BS_YVMEEBKC	1
BS_YY5B2XDD	1
BS_YZ2Z1Q6Y	1
BS_Z0AVVB1V	1
BS_Z1A875MW	1
BS_Z28VKGNS	1
BS_Z2NWPQKF	1
BS_Z3RCA1T9	1
BS_Z45HD492	1
BS_Z6BWR941	1
BS_Z6MC4N8D	1
BS_Z72QAZC7	1
BS_Z7G68ZS2	1
BS_Z7Y2466H	1
BS_Z85M2R3N	1
BS_Z8F3GM85	1
BS_Z8JJGT26	1
BS_Z8YZ6QGS	1
BS_Z9ZS6ZS2	1
BS_ZD5HN296	1
BS_ZDYW8P2X	1
BS_ZF34SJGN	1
BS_ZF6BSFNF	1
BS_ZF8KKCKY	1
BS_ZN8136D9	1
BS_ZQKGJD70	1
BS_ZR96A4FH	1
BS_ZRM0W01M	1
BS_ZTWGFWTX	1
BS_ZV1P6W9C	1
BS_ZV68CES9	1
BS_ZV9Z3SY6	1
BS_ZVX2GRD6	1
BS_ZVZDDW2G	1
BS_ZWR9W4FX	1
BS_ZXYDSBM9	1
BS_ZZMYDZJW	1
BS_ZZPBANDD	1
BS_ZZWMD6FA	1
